protocol,config,seed,split,domain,n,threshold,auc,acc,bal_acc,f1_macro,specificity_recall0,sensitivity_recall1,ppv,npv,tn,fp,fn,tp
joint_all,effformer_l1,27,test,busi,129,0.43,0.8247541931752458,0.7906976744186046,0.7290341237709659,0.7376666415605935,0.8791208791208791,0.5789473684210527,0.6666666666666666,0.8333333333333334,80,11,16,22
joint_all,effformer_l1,27,test,aul,127,0.43,0.7582146768893757,0.7007874015748031,0.7016703176341731,0.6866233766233767,0.7045454545454546,0.6987951807228916,0.8169014084507042,0.5535714285714286,31,13,25,58
joint_all,effformer_l1,37,val,combined,706,0.5,0.910071044546851,0.8569405099150141,0.8652361751152073,0.8394540546260585,0.8857142857142857,0.844758064516129,0.945823927765237,0.7072243346007605,186,24,77,419
joint_all,effformer_l1,37,val,tn5000,500,0.5,0.9408231416428138,0.888,0.889843004597103,0.8592427258651545,0.8934426229508197,0.8862433862433863,0.9626436781609196,0.7171052631578947,109,13,43,335
joint_all,effformer_l1,37,val,busi,104,0.5,0.7926634768740033,0.7884615384615384,0.7496012759170654,0.7596638655462185,0.8939393939393939,0.6052631578947368,0.7666666666666667,0.7972972972972973,59,7,15,23
joint_all,effformer_l1,37,val,aul,102,0.5,0.8215909090909091,0.7745098039215687,0.790340909090909,0.7257744009351257,0.8181818181818182,0.7625,0.9384615384615385,0.4864864864864865,18,4,19,61
joint_all,effformer_l1,37,test,tn5000,1000,0.5,0.9168972327124961,0.838,0.8407337197273794,0.8135693867123306,0.8469750889679716,0.8344923504867872,0.9331259720062208,0.6666666666666666,238,43,119,600
joint_all,effformer_l1,37,test,busi,129,0.5,0.8542510121457491,0.8217054263565892,0.7740023134759977,0.7803035912624954,0.8901098901098901,0.6578947368421053,0.7142857142857143,0.8617021276595744,81,10,13,25
joint_all,effformer_l1,37,test,aul,127,0.5,0.8302300109529025,0.7637795275590551,0.7445235487404163,0.741869918699187,0.6818181818181818,0.8072289156626506,0.8271604938271605,0.6521739130434783,30,14,16,67
joint_all,effformer_l1_eca,17,val,combined,706,0.3,0.90411866359447,0.8484419263456091,0.8358486943164363,0.8244495311574079,0.8047619047619048,0.8669354838709677,0.9129511677282378,0.7191489361702128,169,41,66,430
joint_all,effformer_l1_eca,17,val,tn5000,500,0.3,0.9431433775696071,0.906,0.8712160638390147,0.8722485879391795,0.8032786885245902,0.9391534391534392,0.9366754617414248,0.8099173553719008,98,24,23,355
joint_all,effformer_l1_eca,17,val,busi,104,0.3,0.8265550239234448,0.7692307692307693,0.7456140350877194,0.7482855990318678,0.8333333333333334,0.6578947368421053,0.6944444444444444,0.8088235294117647,55,11,13,25
joint_all,effformer_l1_eca,17,val,aul,102,0.3,0.7329545454545455,0.6470588235294118,0.6761363636363636,0.6029411764705883,0.7272727272727273,0.625,0.8928571428571429,0.34782608695652173,16,6,30,50
joint_all,effformer_l1_eca,17,test,tn5000,1000,0.3,0.9004152663594653,0.866,0.8157632932255654,0.8275897562582345,0.701067615658363,0.9304589707927677,0.8884462151394422,0.7975708502024291,197,84,50,669
joint_all,effformer_l1_eca,17,test,busi,129,0.3,0.819838056680162,0.7829457364341085,0.7618565644881434,0.7497228381374723,0.8131868131868132,0.7105263157894737,0.6136363636363636,0.8705882352941177,74,17,11,27
joint_all,effformer_l1_eca,17,test,aul,127,0.3,0.6812705366922235,0.6535433070866141,0.6067907995618839,0.6086834733893558,0.45454545454545453,0.7590361445783133,0.7241379310344828,0.5,20,24,20,63
joint_all,effformer_l1_eca,27,val,combined,706,0.34,0.905923579109063,0.8541076487252125,0.8467453917050691,0.8322193022327536,0.8285714285714286,0.8649193548387096,0.9225806451612903,0.7219917012448133,174,36,67,429
joint_all,effformer_l1_eca,27,val,tn5000,500,0.34,0.9494969208083962,0.9,0.870023419203747,0.865948867536033,0.8114754098360656,0.9285714285714286,0.9385026737967914,0.7857142857142857,99,23,27,351
